RowName,InstrumentName,InstrumentTypeCategory,UpgradeName,Cost
1,Drums1,1,DRUM to get rid of,1500
2,Drums2,2,"Small Drum, Need out of House",3000
3,Drums3,3,1975 Drumster Fire *BRAND NEW*,5000
4,Guitar1,4,Bender '54 (slight damage),1500
5,Guitar2,5,Full Size Lagoon Guitar Bag,3000
6,Guitar3,6,Signed Gibby Guitar knob,5000
7,Bass1,7,Pro Fish Guitar 2023 ,1500
8,Bass2,8,Refurbished Grand Largemouth,3000
9,Bass3,9,Used Bass strings (Still in package),5000
10,Wild1,10,Vintage Geetar 2016,1500
11,Wild2,11,Acoustic Guitar (3 strings left),3000
12,Wild3,12,Hand Etched Horse Guitar ,5000
13,Drums1,1,DRUM to get rid of,1725
14,Drums2,2,"Small Drum, Need out of House",3450
15,Drums3,3,1975 Drumster Fire *BRAND NEW*,5750
16,Guitar1,4,Bender '54 (slight damage),1725
17,Guitar2,5,Full Size Lagoon Guitar Bag,3450
18,Guitar3,6,Signed Gibby Guitar knob,5750
19,Bass1,7,Pro Fish Guitar 2023 ,1725
20,Bass2,8,Refurbished Grand Largemouth,3450
21,Bass3,9,Used Bass strings (Still in package),5750
22,Wild1,10,Vintage Geetar 2016,1725
23,Wild2,11,Acoustic Guitar (3 strings left),3450
24,Wild3,12,Hand Etched Horse Guitar ,5750
25,Drums1,1,DRUM to get rid of,1984
26,Drums2,2,"Small Drum, Need out of House",3968
27,Drums3,3,1975 Drumster Fire *BRAND NEW*,6613
28,Guitar1,4,Bender '54 (slight damage),1984
29,Guitar2,5,Full Size Lagoon Guitar Bag,3968
30,Guitar3,6,Signed Gibby Guitar knob,6613
31,Bass1,7,Pro Fish Guitar 2023 ,1984
32,Bass2,8,Refurbished Grand Largemouth,3968
33,Bass3,9,Used Bass strings (Still in package),6613
34,Wild1,10,Vintage Geetar 2016,1984
35,Wild2,11,Acoustic Guitar (3 strings left),3968
36,Wild3,12,Hand Etched Horse Guitar ,6613
37,Drums1,1,DRUM to get rid of,2282
38,Drums2,2,"Small Drum, Need out of House",4563
39,Drums3,3,1975 Drumster Fire *BRAND NEW*,7605
40,Guitar1,4,Bender '54 (slight damage),2282
41,Guitar2,5,Full Size Lagoon Guitar Bag,4563
42,Guitar3,6,Signed Gibby Guitar knob,7605
43,Bass1,7,Pro Fish Guitar 2023 ,2282
44,Bass2,8,Refurbished Grand Largemouth,4563
45,Bass3,9,Used Bass strings (Still in package),7605
46,Wild1,10,Vintage Geetar 2016,2282
47,Wild2,11,Acoustic Guitar (3 strings left),4563
